DATE,OHLC_OPEN,OHLC_HIGH,OHLC_LOW,OHLC_CLOSE,VOLUME,5D_MAVG,10D_MAVG
2016-03-21,105.93,107.65,105.14,105.91,35180796,104.958,103.224
2016-03-18,106.34,106.5,105.19,105.92,43402289,104.226,102.933
2016-03-17,105.52,106.47,104.96,105.8,34244593,103.3,102.503
2016-03-16,104.61,106.31,104.59,105.97,37893758,102.33,101.981
2016-03-15,103.96,105.18,103.85,104.58,40067734,101.62,101.576
2016-03-14,101.91,102.91,101.78,102.52,25027426,101.49,100.993
2016-03-11,102.24,102.28,101.5,102.26,27200833,101.64,100.458
2016-03-10,101.41,102.24,100.15,101.17,33513577,101.706,100.017
2016-03-09,101.31,101.58,100.27,101.12,27130729,101.632,99.515
2016-03-08,100.78,101.76,100.4,101.03,31274161,101.532,98.881
2016-03-07,102.39,102.83,100.96,101.87,35828909,100.496,98.382
2016-03-04,102.37,103.75,101.37,103.01,45936485,99.276,97.685
2016-03-03,100.58,101.71,100.45,101.5,36792245,98.328,97.161
2016-03-02,100.51,100.89,99.64,100.75,33084941,97.398,96.898
2016-03-01,97.65,100.77,97.42,100.53,50153943,96.23,96.509
2016-02-29,96.86,98.23,96.65,96.69,34876558,96.268,96.239
2016-02-26,97.2,98.02,96.58,96.91,28913208,96.094,95.918
2016-02-25,96.05,96.76,95.25,96.76,27393905,95.994,95.669
2016-02-24,93.98,96.38,93.32,96.1,36155642,96.398,95.558
2016-02-23,96.4,96.5,94.55,94.69,31686699,96.788,95.59
2016-02-22,96.31,96.9,95.92,96.88,34048195,96.21,95.304
2016-02-19,96,96.76,95.8,96.04,34485576,95.742,95.36
2016-02-18,98.84,98.89,96.09,96.26,38494442,95.344,95.369
2016-02-17,96.67,98.21,96.15,98.12,44390173,94.718,95.005
2016-02-16,95.02,96.85,94.61,96.64,47490678,94.392,94.984
2016-02-12,94.19,94.5,93.01,93.99,40121670,94.398,95.319
2016-02-11,93.79,94.72,92.59,93.7,49686210,94.978,95.358
2016-02-10,95.92,96.35,94.1,94.27,42244975,95.394,95.273
2016-02-09,94.29,95.94,93.93,94.99,44262912,95.292,95.773
2016-02-08,93.13,95.7,93.04,95.01,53852284,95.576,96.216
2016-02-05,96.52,96.92,93.69,94.02,45853883,96.24,96.956
2016-02-04,95.86,97.33,95.19,96.6,46263907,95.738,96.926
2016-02-03,95,96.84,94.08,96.35,45366710,95.152,96.97
2016-02-02,95.42,96.04,94.28,94.48,37081206,96.254,97.188
2016-02-01,96.47,96.71,95.4,96.43,40571593,96.856,97.258
2016-01-29,94.79,97.34,94.35,97.34,64010141,97.672,97.476
2016-01-28,93.79,94.52,92.39,94.09,55557109,98.114,97.806
2016-01-27,96.04,96.63,93.34,93.42,132224500,98.788,98.46
2016-01-26,99.93,100.88,98.07,99.99,63538305,98.122,98.314
2016-01-25,101.52,101.53,99.21,99.44,51196375,97.66,98.066
2016-01-22,98.63,101.46,98.37,101.42,65562769,97.28,97.569
2016-01-21,97.06,97.88,94.94,96.3,52054521,97.498,98.009
2016-01-20,95.1,98.19,93.42,96.79,72008265,98.132,98.601
2016-01-19,98.41,98.65,95.5,96.66,52841349,98.506,99.47
